2022-04-21 15:49:42.071203  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-21 15:51:52.995666  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-21 15:54:20.704819  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-21 16:06:42.743635  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-21 16:27:21.517732  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 15:20:42.701189  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:00:12.167256  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:12:26.209137  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:19:00.256722  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:19:19.834927  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:20:34.052405  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:21:25.318944  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:25:07.273096  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:28:21.976268  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:42:08.810263  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:42:27.046564  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-26 16:52:34.665166  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 10:34:31.054298  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 11:11:30.899914  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 14:12:55.824404  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 14:14:16.058091  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 14:43:52.314762  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 14:58:25.709173  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 15:22:55.043835  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 15:36:26.715488  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 15:46:34.121459  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 15:51:54.150851  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 16:12:51.946431  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-04-28 16:40:37.094269  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
